omim,title,prevalence,onset_age,disease_def,synonym
100800,Orphanet: Achondroplasia,1-9 / 100 000,Neonatal,"A primary bone dysplasia with micromelia characterized by rhizomelia, exaggerated lumbar lordosis, brachydactyly, and macrocephaly with frontal bossing and midface hypoplasia.",
101200,Orphanet: Apert syndrome,1-9 / 100 000,"Antenatal,Neonatal","A frequent form of acrocephalosyndactyly, a group of inherited congenital malformation disorders, characterized by craniosynostosis, midface hypoplasia, and finger and toe anomalies and/or syndactyly.","ACS1,Acrocephalosyndactyly type 1"
101000,Orphanet: Neurofibromatosis type 2,1-9 / 100 000,Allages,Neurofibromatosis type 2 (NF2) is a tumor-prone disorder characterized by the development of multiple schwannomas and meningiomas.,NF2
101600,Orphanet: Pfeiffer syndrome,Unknown,"Antenatal,Neonatal","An acrocephalosyndactyly associated with craniosynostosis, midfacial hypoplasia, hand and foot malformation with a wide range of clinical expression and severity. Most of the affected patients show various other associated manifestations.","ACS5,Acrocephalosyndactyly type 5"
180750,Orphanet: Saethre Chotzen syndrome,1-9 / 100 000,"Antenatal,Neonatal","A syndrome characterized by unilateral or bilateral coronal synostosis, facial asymmetry, ptosis, strabismus and small ears with prominent superior and/or inferior crus, among other less common manifestations.","ACS3,Acrocephalosyndactyly type 3,SCS"
101850,Orphanet: Acrokeratoelastoidosis of Costa,Unknown,"Adolescent,Adult","A rare dermatosis characterized by small, firm papules or plaques (resembling warts) on the sides of the hands and feet. These stationary and asymptomatic lesions appear generally at puberty, or sometimes later","AKE,PPKP3,Punctate palmoplantar hyperkeratosis type 3,Punctate palmoplantar keratoderma type 3"
614613,Orphanet: Acrodysostosis,Unknown,"Neonatal,Antenatal","An acromelic dysplasia that is characterized by severe brachydactyly, peripheral dysostosis with facial dysostosis, nasal hypoplasia, and developmental delay.","Acrodysplasia,Arkless-Graham syndrome,Maroteaux-Malamut syndrome"
102100,Orphanet: Acromegaly cutis verticis gyrata corneal leukoma syndrome,-,-,,
101900,Orphanet: Acrokeratosis verruciformis of Hopf,Unknown,"Neonatal,Infancy,Adult","A rare, genetic, acrokeratoderma disease characterized by multiple, symmetrical, asymptomatic, skin-colored (rarely, brownish), flat-topped, wart-like papules located on the dorsal aspects of the hands and feet (occasionally found on other parts of the body, such as knees, elbows and forearms), typically associated with palmoplantar punctate keratosis and variable nail involvement (including leukonychia, thickening, ridging, longitudinal striations and splitting). Histology reveals undulating hyperkeratosis, papillomatosis, hypergranulosis, and acanthosis, creating a characteristic 'church spire' appearance, with no acantholysis nor dyskeratosis associated.",AKV of Hopf
300943,Orphanet: Acromegaly,1-9 / 100 000,"Elderly,Adolescent,Childhood,Infancy,Adult",A rare acquired endocrine disease related to excessive production of growth hormone (GH) and characterized by progressive somatic disfigurement (mainly involving the face and extremities) and systemic manifestations.,
